Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,LOI
5,19,411.66,196,8.57625,0.7461,1.10399375,0.058823529,35.8128,120,0,43.75,52.9917,6.25,0.888888889,340.45,43.75,150,0.6,3,2,198.29,3,0.142857143,2,180,0,0,6.947959184,6,0,0.666666667,6.837586207,3,18,3,0,21,2,6,0,1,6,0.085470085,1,12,3,18,0.675165517,0,0,3,0,0,0,12,0,39,0,0,6,0,0,32.4878,0,0,0,4,0,6,0,1,3,0,0,0,0,30,21,0,0,19.5798,44.82758621,0,0,1
5,19,435.41,196,8.885918367,0.711389796,1.121616327,0.094339623,34.8581,120,8.163265306,36.73469388,54.9592,10.20408163,0.806451613,340.45,42.85714286,150,0.657142857,3,2,198.29,5,0.095238095,2,180,3,1,6.947959184,10,0.16,0.741935484,6.837586207,2,24,5,4,18,2,14,1,1.16,1,0.075268817,0.6,14,3,23,0.675165517,1,0,8,0,0,0,11,3,47.5,0,0,4,0,1,32.4878,1,1,2,3,0,7,0,1,1,0,1,0,1,35,21,0,1,19.5798,44.82758621,0,0,1
5,19,430.28,196,10.00651163,0.625527907,1.189265116,0.047619048,26.8977,120,16.27906977,37.20930233,51.1384,27.90697674,0.444444444,340.45,13.95348837,150,0.461538462,12,2,198.29,2,0,2,180,16,2,6.947959184,21,0,0.444444444,6.837586207,0,14,12,7,16,2,6,2,1,0,0.074074074,1,0,16,12,0.675165517,0,0,17,0,0,0,0,0,34,0,1,0,0,2,32.4878,0,0,0,2,0,0,4,1,2,2,0,2,0,26,6,0,0,19.5798,44.82758621,0,0,1
5,19,402.45,196,7.739423077,0.715040385,1.102582692,0.090909091,37.1821,120,5.769230769,44.23076923,57.3343,0,0.827586207,340.45,48.07692308,150,0.5625,3,2,198.29,5,0.12,2,180,2,3,6.947959184,4,0,0.620689655,6.837586207,3,21,0,3,23,2,14,1,1,0,0.078817734,1,18,2,18,0.675165517,1,1,3,0,0,2,14,1,44,0,0,3,0,1,32.4878,0,2,0,4,2,4,0,1,1,1,0,0,0,32,25,1,1,19.5798,44.82758621,1,0,1
5,19,184.2,196,7.368,0.668644,1.136836,0.08,16.7161,120,4,52,28.4209,8,0.5,340.45,32,150,0.5,4,2,198.29,2,0.25,2,180,3,1,6.947959184,4,0,0.5,6.837586207,2,7,2,1,13,2,6,1,1,0,0.181818182,1,10,3,6,0.675165517,0,0,3,0,0,0,4,0,16,0,0,2,0,1,32.4878,0,0,0,1,0,2,1,1,1,0,0,0,2,12,8,0,1,19.5798,44.82758621,0,0,1
5,19,654.61,196,8.728133333,0.753488,1.092424,0.111111111,56.5116,120,8,37.33333333,81.9318,0,0.85106383,340.45,52,150,0.679245283,3,2,198.29,9,0,2,180,0,4,6.947959184,8,0.05,0.765957447,6.837586207,0,40,0,6,28,2,16,2,1.05,1,0.049028677,0.857142857,27,0,36,0.675165517,0,0,6,0,0,0,27,2,75,0,0,7,0,3,32.4878,0,0,1,6,0,9,0,1,2,0,1,0,0,53,39,0,2,19.5798,44.82758621,0,0,1
5,19,380.24,196,9.74974359,0.734264103,1.108584615,0.069767442,28.6363,120,17.94871795,35.8974359,43.2348,0,0.84,340.45,41.02564103,150,0.413793103,2,2,198.29,3,0.25,2,180,0,2,6.947959184,9,0.380952381,0.48,6.837586207,4,14,0,7,14,2,14,2,1.333333333,0,0.096666667,0.4,14,0,12,0.675165517,0,0,7,3,0,0,8,2,37,0,4,2,0,2,32.4878,2,0,4,2,0,4,0,1,2,0,0,0,0,29,16,0,0,19.5798,44.82758621,1,0,1
5,19,1030.2,196,10.73125,0.821559375,1.10315,0.111111111,78.8697,120,0,31.25,105.9024,15.625,0.909090909,340.45,43.75,150,0.769230769,0,2,198.29,12,0,2,180,6,3,6.947959184,24,0.2,0.818181818,6.837586207,0,63,15,0,30,2,9,3,1.2,0,0.036363636,0.538461538,24,6,54,0.675165517,0,0,15,0,0,0,24,0,111,0,0,0,0,0,32.4878,6,0,6,7,0,12,0,1,9,0,0,0,0,78,42,0,0,19.5798,44.82758621,0,0,1
5,19,343.4,196,7.465217391,0.678736957,1.125856522,0.081632653,31.2219,120,4.347826087,47.82608696,51.7894,6.52173913,0.833333333,340.45,39.13043478,150,0.444444444,1,2,198.29,4,0.333333333,2,180,2,1,6.947959184,6,0.2,0.5,6.837586207,6,13,3,2,22,2,14,1,1.2,0,0.097826087,0.5,20,2,12,0.675165517,0,0,5,6,0,0,8,2,34,0,0,2,1,1,32.4878,0,0,2,2,0,4,0,1,1,0,0,0,0,27,18,0,0,19.5798,44.82758621,0,0,1
5,19,354.22,196,10.12057143,0.695448571,1.117128571,0.105263158,24.3407,120,25.71428571,31.42857143,39.0995,0,0.708333333,340.45,40,150,0.222222222,4,2,198.29,4,0.357142857,2,180,0,4,6.947959184,10,0.470588235,0.25,6.837586207,5,10,0,9,11,2,12,1,1.352941176,0,0.097826087,0.5,11,0,6,0.675165517,0,0,9,4,0,0,3,3,34,0,3,0,0,4,32.4878,1,0,4,2,0,3,0,1,1,0,0,0,0,27,14,0,0,19.5798,44.82758621,0,0,1
5,19,346.29,196,8.879230769,0.705128205,1.1103,0.12195122,27.5,120,15.38461538,38.46153846,43.3017,0,0.583333333,340.45,43.58974359,150,0.461538462,5,2,198.29,5,0.176470588,2,180,2,3,6.947959184,7,0.285714286,0.5,6.837586207,3,15,0,6,15,2,14,1,1.285714286,0,0.094202899,0.333333333,10,2,12,0.675165517,0,0,6,1,0,1,8,2,35,0,0,2,0,3,32.4878,0,2,2,1,0,4,0,1,1,2,0,0,0,26,17,1,1,19.5798,44.82758621,1,0,1
