Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),MW_FR,EEW,AMW_FR,Mp_FR,Mi_FR,RBF_FR,Sp_FR,Curing_Tem1,O%_FR,H%_FR,Si_FR,N%_FR,MCD_FR,MW_EP,C%_FR,Curing_Tem2,ARR_FR,nTA_FR,Curing_Time2,MW_Curing_Agent,RBN_FR,Fsp3_FR,Curing_Time1,Curing_Tem3,nHDon_FR,nDB_FR,AMW_EP,nHet_FR,RFD_FR,AP_FR,AMW_Curing_Agent,nCsp3_FR,nBM_FR,nN_FR,nO_FR,nH_FR,Curing_Time3,max_conj_path_FR,nP_FR,RCI_FR,H-048_FR,GD_FR,NNRS_FR,H-047_FR,H-050_FR,nAA_FR,Mp_Curing_Agent,nArOH_FR,H-052_FR,nHAcc_FR,C-006_FR,Curing_Tem4,nCs_FR,nCbH_FR,C-025_FR,SCBO_FR,nCp_FR,O-059_FR,C-026_FR,nRNHR_FR,O-058_FR,Si_Curing_Agent,nR05_FR,O-057_FR,Rbrid_FR,NRS_FR,H-046_FR,nCb-_FR,nArNH2_FR,nCsp3_Curing_Agent,nHM_FR,nROH_FR,nArOR_FR,O-056_FR,C-005_FR,nBO_FR,nC_FR,C-002_FR,P-116_FR,Sp_Curing_Agent,C%_Curing_Agent,nCt_FR,C-001_FR,TRS_FR,nCq_FR,C-007_FR,nB_FR,H-051_FR,O-060_FR,P-117_FR,nRNH2_FR,nP(=O)O2R_FR,N-070_FR,RBF_Curing_Agent,nH_Curing_Agent,nCconj_FR,nOHs_FR,Curing_Time4,nCIC_FR,Rperim_FR,nR06_FR,nArNHR_FR,nROR_FR,C-009_FR,MCD_Curing_Agent,nBT_FR,nRSR_FR,nPO4_FR,N-067_FR,N-073_FR,Si-111_FR,Mi_Curing_Agent,Sp_EP,nS_FR,nR10_FR,nCONN_FR,nRNHO_FR,nOHp_FR,C-008_FR,H-053_FR,N-075_FR,nAT_FR,nCrq_FR,nImidazoles_FR,C-003_FR,H-049_FR,N-069_FR,P-120_FR,N%_Curing_Agent,nCs_Curing_Agent,nSK_FR,nFuranes_FR,nTriazoles_FR,nDB_Curing_Agent,ARR_Curing_Agent,nR07_FR,nR09_FR,nBnz_FR,nS(=O)2_FR,nSO2N_FR,nOxiranes_FR,C-032_FR,C-040_FR,S-110_FR,B-112_FR,P-118_FR,Fsp3_Curing_Agent,C-025_Curing_Agent,H%_EP,nTB_FR,nCL_FR,nCsp2_FR,nCrs_FR,nRCONR2_FR,nRNR2_FR,n135-Triazines_FR,C-024_FR,C-034_FR,C-037_FR,RBN_Curing_Agent,H%_Curing_Agent,C-001_Curing_Agent,Si_EP,Mp_EP,nStructures_FR,nBridgeHead_FR,nNq_FR,nPyrimidines_FR,C-030_FR,C-031_FR,C-044_FR,H-054_FR,N-078_FR,nAA_Curing_Agent,nTA_Curing_Agent,nBM_Curing_Agent,nHet_Curing_Agent,AP_Curing_Agent,nHDon_Curing_Agent,MCD_EP,nRCOOH_FR,nRCONHR_FR,nArNR2_FR,nThiazoles_FR,C-011_FR,C-016_FR,C-027_FR,C-028_FR,C-033_FR,C-035_FR,C-042_FR,H-055_FR,N-072_FR,Curing_Time5,Curing_Tem6,nSpiro_FR,nR03_FR,nR=Cs_FR,nRCONH2_FR,nN(CO)2_FR,nPyrroles_FR,C-018_FR,N-071_FR,nO_Curing_Agent,O%_Curing_Agent,Curing_Tem5,nAB_FR,nCrt_FR,nCar_FR,nArC=N_FR,nN+_FR,nP(=O)R3/nPR5_FR,C-004_FR,O-062_FR,N-066_FR,Cl-090_FR,S-108_FR,P-119_FR,nCb-_Curing_Agent,O-060_Curing_Agent,nTA_EP,RBF_EP,O%_EP,X%_FR,nR08_FR,nArCHO_FR,nArCNO_FR,nSO2OH_FR,nArX_FR,nThiophenes_FR,C-019_FR,N-068_FR,F-085_FR,S-107_FR,SCBO_Curing_Agent,nC_Curing_Agent,nHM_Curing_Agent,nCsp2_Curing_Agent,nCIC_Curing_Agent,Rperim_Curing_Agent,nCp_Curing_Agent,nCrt_Curing_Agent,nRNH2_Curing_Agent,nArNH2_Curing_Agent,C-002_Curing_Agent,C-005_Curing_Agent,C-026_Curing_Agent,H-046_Curing_Agent,H-047_Curing_Agent,H-048_Curing_Agent,H-049_Curing_Agent,Curing_Time6,nBT_EP,RBN_EP,nN_EP,N%_EP,nCsp3_EP,nF_FR,nX_FR,nCsp_FR,nR11_FR,nR=Ct_FR,nRCOOR_FR,nArCO_FR,nRC=N_FR,nArCN_FR,nSO3_FR,nPR3_FR,nPyrazines_FR,C-015_FR,C-022_FR,C-036_FR,C-041_FR,C-043_FR,O-063_FR,N-074_FR,N-076_FR,N-079_FR,Br-094_FR,GD_Curing_Agent,nTB_Curing_Agent,nN_Curing_Agent,nP_Curing_Agent,nS_Curing_Agent,max_conj_path_Curing_Agent,RFD_Curing_Agent,NRS_Curing_Agent,NNRS_Curing_Agent,nR05_Curing_Agent,nR10_Curing_Agent,nCq_Curing_Agent,nRCONH2_Curing_Agent,nArCONHR_Curing_Agent,nArC=N_Curing_Agent,nRCN_Curing_Agent,nArOH_Curing_Agent,nArOR_Curing_Agent,nS(=O)2_Curing_Agent,nImidazoles_Curing_Agent,nHAcc_Curing_Agent,C-008_Curing_Agent,C-037_Curing_Agent,C-042_Curing_Agent,H-050_Curing_Agent,H-051_Curing_Agent,O-058_Curing_Agent,N-067_Curing_Agent,N-069_Curing_Agent,P-116_Curing_Agent,Curing_Pressure,LOI
0,20.63492063,462.47,227,7.838474576,0.679705085,1.130098305,0.079365079,40.1026,100,6.779661017,47.45762712,66.6758,6.779661017,0.838709677,340.45,35.59322034,150,0.342857143,2,3,198.29,5,0.428571429,2,0,2,2,6.947959184,10,0.153846154,0.387096774,6.837586207,9,14,4,4,28,0,14,2,1.153846154,2,0.075268817,0.6,24,2,12,0.675165517,0,0,8,8,0,0,8,2,43,0,1,2,2,2,32.4878,0,0,2,3,0,4,0,1,2,0,0,0,0,35,21,0,1,19.5798,44.82758621,0,0,30,0,1,0,0,1,1,0,0,0,0.066666667,14,0,0,0,5,26,5,0,0,0,0.8,63,0,0,2,0,0,1.120268966,31.9548,0,2,0,0,0,0,0,0,59,0,0,0,0,0,0,6.896551724,1,31,0,0,0,0.75,0,0,2,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,12,0,0,0,0,8,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,2,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,25.8
2,19.78,488.43,196,8.721964286,0.745944643,1.0978,0.06557377,41.7729,120,8.928571429,39.28571429,61.4768,0,0.823529412,340.45,48.21428571,170,0.615384615,3,4,198.29,4,0.111111111,2,0,1,2,6.947959184,7,0.285714286,0.705882353,6.837586207,3,26,0,5,22,0,14,2,1.285714286,1,0.069518717,0.333333333,18,1,24,0.675165517,0,0,5,1,0,1,16,4,53,0,0,4,0,2,32.4878,0,0,4,2,0,8,0,1,2,1,0,1,0,39,27,1,2,19.5798,44.82758621,0,0,36,0,0,0,0,2,0,0,0,0,0.066666667,14,0,0,0,6,28,6,0,0,1,0.8,61,0,0,0,0,0,1.120268966,31.9548,0,4,0,0,0,0,0,0,56,0,0,0,0,0,0,6.896551724,1,34,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,16,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,2,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,32.3
3,19.58,488.43,196,8.721964286,0.745944643,1.0978,0.06557377,41.7729,120,8.928571429,39.28571429,61.4768,0,0.823529412,340.45,48.21428571,170,0.615384615,3,4,198.29,4,0.111111111,2,0,1,2,6.947959184,7,0.285714286,0.705882353,6.837586207,3,26,0,5,22,0,14,2,1.285714286,1,0.069518717,0.333333333,18,1,24,0.675165517,0,0,5,1,0,1,16,4,53,0,0,4,0,2,32.4878,0,0,4,2,0,8,0,1,2,1,0,1,0,39,27,1,2,19.5798,44.82758621,0,0,36,0,0,0,0,2,0,0,0,0,0.066666667,14,0,0,0,6,28,6,0,0,1,0.8,61,0,0,0,0,0,1.120268966,31.9548,0,4,0,0,0,0,0,0,56,0,0,0,0,0,0,6.896551724,1,34,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,16,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,2,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,36.2
4,19.39,488.43,196,8.721964286,0.745944643,1.0978,0.06557377,41.7729,120,8.928571429,39.28571429,61.4768,0,0.823529412,340.45,48.21428571,170,0.615384615,3,4,198.29,4,0.111111111,2,0,1,2,6.947959184,7,0.285714286,0.705882353,6.837586207,3,26,0,5,22,0,14,2,1.285714286,1,0.069518717,0.333333333,18,1,24,0.675165517,0,0,5,1,0,1,16,4,53,0,0,4,0,2,32.4878,0,0,4,2,0,8,0,1,2,1,0,1,0,39,27,1,2,19.5798,44.82758621,0,0,36,0,0,0,0,2,0,0,0,0,0.066666667,14,0,0,0,6,28,6,0,0,1,0.8,61,0,0,0,0,0,1.120268966,31.9548,0,4,0,0,0,0,0,0,56,0,0,0,0,0,0,6.896551724,1,34,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,16,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,2,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,39.1
0,20.1915403,488.43,196,8.721964286,0.745944643,1.0978,0.06557377,41.7729,120,8.928571429,39.28571429,61.4768,0,0.823529412,340.45,48.21428571,170,0.615384615,3,4,198.29,4,0.111111111,2,0,1,2,6.947959184,7,0.285714286,0.705882353,6.837586207,3,26,0,5,22,0,14,2,1.285714286,1,0.069518717,0.333333333,18,1,24,0.675165517,0,0,5,1,0,1,16,4,53,0,0,4,0,2,32.4878,0,0,4,2,0,8,0,1,2,1,0,1,0,39,27,1,2,19.5798,44.82758621,0,0,36,0,0,0,0,2,0,0,0,0,0.066666667,14,0,0,0,6,28,6,0,0,1,0.8,61,0,0,0,0,0,1.120268966,31.9548,0,4,0,0,0,0,0,0,56,0,0,0,0,0,0,6.896551724,1,34,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,16,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,2,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,24.7
3,19.58204334,216.18,196,9.0075,0.766575,1.0924375,0,18.3978,120,8.333333333,37.5,26.2185,0,0.933333333,340.45,50,170,0.705882353,1,4,198.29,0,0,2,0,0,1,6.947959184,3,0.285714286,0.8,6.837586207,0,13,0,2,9,0,14,1,1.285714286,0,0.161904762,0.333333333,8,1,12,0.675165517,0,0,2,0,0,0,8,2,24,0,0,2,0,1,32.4878,0,0,2,1,0,4,0,1,1,0,0,0,0,17,12,0,1,19.5798,44.82758621,0,0,18,0,0,0,0,1,0,0,0,0,0.066666667,14,0,0,0,3,14,3,0,0,0,0.8,26,0,0,0,0,0,1.120268966,31.9548,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,6.896551724,1,15,0,0,0,0.75,0,0,2,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,12,0,0,0,0,8,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,35.5
3,20.55,575.75,196,7.381410256,0.718174359,1.110279487,0.185185185,56.0176,120,3.846153846,50,86.6018,1.282051282,0.615384615,340.45,41.02564103,150,0.571428571,3,2,198.29,15,0.25,2,0,0,0,6.947959184,7,0,0.615384615,6.837586207,8,24,1,3,39,0,6,2,1,0,0.056680162,1,31,0,24,0.675165517,0,6,4,4,0,1,20,0,54,2,3,4,0,0,32.4878,0,0,0,4,0,4,0,1,3,0,0,0,1,42,32,1,0,19.5798,44.82758621,0,2,24,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,4,24,4,0,0,0,0.8,81,0,0,0,0,1,1.120268966,31.9548,0,0,0,0,0,0,2,0,78,0,0,0,0,0,0,6.896551724,1,39,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,2,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,32.4
5,19.94,575.75,196,7.381410256,0.718174359,1.110279487,0.185185185,56.0176,120,3.846153846,50,86.6018,1.282051282,0.615384615,340.45,41.02564103,150,0.571428571,3,2,198.29,15,0.25,2,0,0,0,6.947959184,7,0,0.615384615,6.837586207,8,24,1,3,39,0,6,2,1,0,0.056680162,1,31,0,24,0.675165517,0,6,4,4,0,1,20,0,54,2,3,4,0,0,32.4878,0,0,0,4,0,4,0,1,3,0,0,0,1,42,32,1,0,19.5798,44.82758621,0,2,24,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,4,24,4,0,0,0,0.8,81,0,0,0,0,1,1.120268966,31.9548,0,0,0,0,0,0,2,0,78,0,0,0,0,0,0,6.896551724,1,39,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,2,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,33.5
7,19.71,575.75,196,7.381410256,0.718174359,1.110279487,0.185185185,56.0176,120,3.846153846,50,86.6018,1.282051282,0.615384615,340.45,41.02564103,150,0.571428571,3,2,198.29,15,0.25,2,0,0,0,6.947959184,7,0,0.615384615,6.837586207,8,24,1,3,39,0,6,2,1,0,0.056680162,1,31,0,24,0.675165517,0,6,4,4,0,1,20,0,54,2,3,4,0,0,32.4878,0,0,0,4,0,4,0,1,3,0,0,0,1,42,32,1,0,19.5798,44.82758621,0,2,24,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,4,24,4,0,0,0,0.8,81,0,0,0,0,1,1.120268966,31.9548,0,0,0,0,0,0,2,0,78,0,0,0,0,0,0,6.896551724,1,39,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,2,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,34
0,21.18226601,575.75,196,7.381410256,0.718174359,1.110279487,0.185185185,56.0176,120,3.846153846,50,86.6018,1.282051282,0.615384615,340.45,41.02564103,150,0.571428571,3,2,198.29,15,0.25,2,0,0,0,6.947959184,7,0,0.615384615,6.837586207,8,24,1,3,39,0,6,2,1,0,0.056680162,1,31,0,24,0.675165517,0,6,4,4,0,1,20,0,54,2,3,4,0,0,32.4878,0,0,0,4,0,4,0,1,3,0,0,0,1,42,32,1,0,19.5798,44.82758621,0,2,24,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,4,24,4,0,0,0,0.8,81,0,0,0,0,1,1.120268966,31.9548,0,0,0,0,0,0,2,0,78,0,0,0,0,0,0,6.896551724,1,39,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,2,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,0,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,23.3
3,20.55,726.64,196,8.352183908,0.76665977,1.102881609,0.141304348,66.6994,120,3.448275862,49.42528736,95.9507,1.149425287,0.727272727,340.45,39.08045977,150,0.489795918,3,2,198.29,13,0.294117647,2,0,0,0,6.947959184,10,0,0.545454545,6.837586207,10,24,1,3,43,0,6,2,1.03125,0,0.05179704,0.833333333,35,0,24,0.675165517,0,6,4,6,0,1,20,0,61,2,3,4,0,0,32.4878,1,0,0,5,0,4,0,1,6,0,0,0,1,49,34,1,0,19.5798,44.82758621,0,2,33,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,6,33,4,0,0,0,0.8,92,0,0,0,0,1,1.120268966,31.9548,2,0,0,0,0,0,2,0,87,0,0,0,0,0,0,6.896551724,1,44,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,2,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,29.1
5,19.94,726.64,196,8.352183908,0.76665977,1.102881609,0.141304348,66.6994,120,3.448275862,49.42528736,95.9507,1.149425287,0.727272727,340.45,39.08045977,150,0.489795918,3,2,198.29,13,0.294117647,2,0,0,0,6.947959184,10,0,0.545454545,6.837586207,10,24,1,3,43,0,6,2,1.03125,0,0.05179704,0.833333333,35,0,24,0.675165517,0,6,4,6,0,1,20,0,61,2,3,4,0,0,32.4878,1,0,0,5,0,4,0,1,6,0,0,0,1,49,34,1,0,19.5798,44.82758621,0,2,33,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,6,33,4,0,0,0,0.8,92,0,0,0,0,1,1.120268966,31.9548,2,0,0,0,0,0,2,0,87,0,0,0,0,0,0,6.896551724,1,44,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,2,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,30.5
7,19.71,726.64,196,8.352183908,0.76665977,1.102881609,0.141304348,66.6994,120,3.448275862,49.42528736,95.9507,1.149425287,0.727272727,340.45,39.08045977,150,0.489795918,3,2,198.29,13,0.294117647,2,0,0,0,6.947959184,10,0,0.545454545,6.837586207,10,24,1,3,43,0,6,2,1.03125,0,0.05179704,0.833333333,35,0,24,0.675165517,0,6,4,6,0,1,20,0,61,2,3,4,0,0,32.4878,1,0,0,5,0,4,0,1,6,0,0,0,1,49,34,1,0,19.5798,44.82758621,0,2,33,0,0,0,0,0,0,0,0,0,0.066666667,14,0,0,0,6,33,4,0,0,0,0.8,92,0,0,0,0,1,1.120268966,31.9548,2,0,0,0,0,0,2,0,87,0,0,0,0,0,0,6.896551724,1,44,0,0,0,0.75,0,0,4,0,0,0,0,0,0,0,0,0.076923077,2,48.97959184,0,0,24,0,0,0,0,20,0,0,2,48.27586207,0,54.82,0.652138776,1,0,0,0,0,0,0,0,0,12,2,12,2,0.8,4,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,1,0,2,22,13,0,12,2,12,0,0,0,2,1,0,2,2,8,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152380952,0,2,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,32.2
10,23.4,344.48,196,6.151428571,0.615064286,1.136066071,0.327272727,34.4436,90,7.142857143,58.92857143,63.6197,0,0,340.45,32.14285714,150,0,4,0.5,238.47,18,0.666666667,0.5,0,0,4,6.947959184,5,0,0,5.073829787,12,4,0,4,33,0,0,1,0,0,0.086956522,0,15,0,0,0.588744681,0,6,4,3,0,9,0,0,26,0,3,0,0,1,53.8094,0,0,0,0,12,0,0,15,1,0,0,0,0,22,18,9,0,27.671,31.91489362,0,0,0,0,0,0,0,0,1,0,0,0,0.041666667,30,0,0,0,0,0,0,0,0,0,0.705882353,55,0,1,0,0,0,1.144880851,31.9548,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,4.255319149,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.97959184,0,0,6,0,0,0,0,0,0,0,2,63.82978723,2,54.82,0.652138776,1,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0.72,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.153846154,8.163265306,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,2,12,2,4,2,0,7,0,0,18,2,0,0,0,52,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.132352941,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,23.2
